,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
271,Traquan,Ragsdale,TikTok Star,Philadelphia,21,Cancer,June,29,2000,15377,
272,Traptastical,Traptastical,Facebook Star, North Carolina ,22,Sagittarius,November,22,1999,26422,
273,Scouse,Tremz,Rapper,Liverpool,29,Pisces,March,13,1993,38767,
274,Trapman,Trapman,YouTube Star,United States,23,Pisces,March,3,1999,156996,
275,TrapJes,TrapJes,Instagram Star,United States,24,Libra,October,16,1997,74333,
276,Tim,Chantarangsu,YouTube Star,Billings,36,Pisces,March,6,1986,4090,
277,TrapCeleb,TrapCeleb,Instagram Star,United States,22,Sagittarius,December,14,1999,29248,
278,Trapboy,Freddy,Rapper,Dallas,30,Capricorn,January,14,1992,26452,
279,Trap,Luke,TikTok Star,United States,17,Virgo,September,22,2004,18757,
280,Trap,Beckham,Rapper,Jacksonville,30,Cancer,July,14,1991,58508,
281,Traore,Ibrahima,Soccer Player,Villepinte,34,Taurus,April,21,1988,111056,
282,Translee,Translee,Rapper,Albany,29,Virgo,September,15,1992,132199,
283,Transforming,Noelle,Instagram Star,United States,41,Aquarius,February,4,1981,163758,
284,Tranquillo,Barnetta,Soccer Player,Switzerland,36,Gemini,May,22,1985,176193,
285,Trannika,Rex,Comedian,Chicago,34,Taurus,April,23,1988,132285,
286,Tranium,Tranium,YouTube Star,United States,25,Sagittarius,December,7,1996,19599,
287,Trang,Ngo,YouTube Star,Vietnam,27,Leo,July,31,1994,103406,
288,Trang,Hy,YouTube Star,Vietnam,27,Pisces,March,16,1995,129371,
289,Tran,Thanh,TV Show Host,Ho Chi Minh City,35,Aquarius,February,5,1987,39117,
290,Tran,San,Novelist,Vietnam,81,Libra,October,10,1940,177646,
291,Tran,Ha,Pop Singer,Vietnam,44,Virgo,August,26,1977,129614,
292,Tramon,Williams,Football Player,Houma,39,Pisces,March,16,1983,95817,
293,Tram,Tran,TikTok Star,San Jose,22,Pisces,March,16,2000,55162,
294,Tram-anh,Tran,TV Actress,New York City,43,Aries,April,17,1979,158363,
295,Trainwreckstv,Trainwreckstv,Twitch Star,Austin,31,Sagittarius,December,20,1990,11467,
296,Trainer,TV,YouTube Star,United States,34,Taurus,May,13,1988,141414,
297,Trainer,Tips,YouTube Star,United States,32,Scorpio,November,21,1989,24903,
298,Trainer,Eleuce,Rapper,Venezuela,26,Aries,April,15,1996,166529,
299,Trail,King,Instagram Star,Atlanta,18,Capricorn,January,14,2004,33176,
300,Traianos,Dellas,Soccer Player,Greece,46,Aquarius,January,31,1976,212023,
301,Traian,Vuia,Inventor,Romania,,Leo,August,7,1872,183478,Sep 3
302,Traian,Basescu,World Leader,Romania,70,Scorpio,November,4,1951,92133,
303,Trai,Turner,Football Player,New Orleans,28,Gemini,June,14,1993,162954,
304,Trai,Byers,TV Actor,Kansas City,38,Cancer,July,19,1983,23251,
305,Trai,Bhumiratna,World Music Singer,Bangkok,49,Scorpio,November,14,1972,156271,
306,Traeh,Nykia,YouTube Star, Maryland ,28,Leo,August,15,1993,26913,
307,TraeFlocka,TraeFlocka,YouTube Star, Tennessee ,30,Leo,August,1,1991,47484,
308,Trae,Young,Basketball Player,Lubbock,23,Virgo,September,19,1998,3545,
309,Trae,Waynes,Football Player,Kenosha,29,Leo,July,25,1992,88206,
310,Trae,Truth,Rapper,Houston,41,Cancer,July,3,1980,36804,
311,Trae,Romano,TV Actor,Atlanta,17,Taurus,May,2,2005,64322,
312,Trae,Robin,Movie Actor,Australia,22,Gemini,June,4,1999,40752,
313,Trae,Harris,TV Actress,Baltimore,34,Taurus,April,20,1988,201598,
314,Trae,Elston,Football Player, Alabama ,28,Aquarius,February,16,1994,193880,
315,Trada,Art,YouTube Star, Puerto Rico ,36,Gemini,June,4,1985,205534,
316,Tracy,Wright,Movie Actress,Canada,,Sagittarius,December,7,1959,192203,Jun 22
317,Tracy,Wilde,Religious Leader,Boise,41,Leo,July,27,1980,190432,
318,Tracy,Wells,TV Actress,Los Angeles,51,Pisces,March,13,1971,128070,
319,Tracy,Wanjiru,TV Show Host,Kenya,25,Scorpio,November,19,1996,177565,
320,Tracy,Vilar,TV Actress, New York ,54,Aries,April,12,1968,169691,
321,Tracy,Tweed,Movie Actress,Canada,57,Taurus,May,10,1965,159737,
322,Tracy,Trinita,TV Actress,Surabaya,41,Libra,September,29,1980,209752,
323,Tracy,T,Rapper,Atlanta,30,Libra,October,7,1991,42340,
324,Tracy,Steele,Politician,North Little Rock,69,Pisces,March,8,1953,162155,
325,Tracy,Spiridakos,TV Actress,Winnipeg,34,Pisces,February,20,1988,13985,
326,Tracy,Sohn,YouTube Star,Toronto,19,Aquarius,February,2,2003,4400,
327,Tracy,Smothers,Wrestler, Tennessee ,,Virgo,September,2,1962,186254,Oct 28
328,Tracy,Smith,Poet, Massachusetts ,50,Aries,April,16,1972,141207,
329,Tracy,Scoggins,TV Actress,Galveston,68,Scorpio,November,13,1953,131767,
330,Tracy,Saenz,Model,Mexico,27,Aquarius,February,11,1995,113901,
331,Tracy,Ryerson,TV Actress, New Jersey ,42,Aries,April,13,1980,85195,
332,Tracy,Reiner,Movie Actress,Albuquerque,57,Cancer,July,7,1964,153852,
333,Tracy,Reese,Fashion Designer,Detroit,58,Aquarius,February,12,1964,152044,
334,Tracy,Reed,Movie Actress,England,,Virgo,September,21,1942,127248,May 2
335,Tracy,Porter,Football Player, LA ,35,Leo,August,11,1986,136217,
336,Tracy,Pollan,Movie Actress,Long Island,61,Cancer,June,22,1960,64732,
337,Tracy,Pendergast,Blogger,Riverside,38,Libra,October,22,1983,193729,
